generation;best;average;worst
0;1145.00;2112.35;2518.00
1;1145.00;1931.71;2381.00
2;1084.00;1675.54;2155.00
3;1070.00;1379.13;1874.00
4;1070.00;1301.75;1722.00
5;1070.00;1287.59;1805.00
6;1069.00;1291.60;1735.00
7;1041.00;1295.72;1709.00
8;1041.00;1295.61;1846.00
9;1040.00;1283.69;1678.00
10;1040.00;1268.99;1752.00
11;1040.00;1267.68;1705.00
12;1026.00;1279.90;1748.00
13;1026.00;1265.65;1671.00
14;1026.00;1265.71;1884.00
15;1026.00;1281.77;1772.00
16;1026.00;1264.84;1804.00
17;964.00;1260.46;1701.00
18;964.00;1262.59;1838.00
19;963.00;1240.19;1726.00
20;952.00;1233.82;1703.00
21;952.00;1216.49;1641.00
22;952.00;1206.63;1631.00
23;952.00;1189.24;1658.00
24;952.00;1174.82;1617.00
25;951.00;1171.17;1680.00
26;948.00;1162.76;1556.00
27;948.00;1172.78;1592.00
28;936.00;1175.58;1690.00
29;936.00;1183.02;1557.00
30;926.00;1183.78;1602.00
31;926.00;1156.92;1639.00
32;923.00;1151.52;1610.00
33;913.00;1140.11;1612.00
34;913.00;1138.16;1621.00
35;912.00;1155.08;1594.00
36;902.00;1151.76;1673.00
37;902.00;1166.36;1605.00
38;902.00;1150.65;1647.00
39;899.00;1167.31;1644.00
40;899.00;1150.74;1660.00
41;899.00;1144.29;1625.00
42;899.00;1141.55;1589.00
43;899.00;1152.66;1561.00
44;899.00;1151.19;1614.00
45;899.00;1162.95;1715.00
46;896.00;1160.39;1616.00
47;888.00;1143.97;1586.00
48;888.00;1166.63;1697.00
49;888.00;1147.87;1580.00
50;888.00;1161.26;1552.00
51;888.00;1144.35;1591.00
52;888.00;1166.02;1725.00
53;884.00;1157.68;1650.00
54;884.00;1159.58;1677.00
55;884.00;1157.57;1631.00
56;884.00;1146.38;1579.00
57;841.00;1145.79;1578.00
58;841.00;1148.62;1647.00
59;841.00;1153.62;1594.00
60;822.00;1153.36;1569.00
61;822.00;1119.26;1602.00
62;822.00;1119.76;1614.00
63;820.00;1092.87;1533.00
64;820.00;1064.94;1571.00
65;816.00;1044.16;1470.00
66;816.00;1054.54;1449.00
67;812.00;1061.67;1520.00
68;812.00;1047.69;1545.00
69;812.00;1068.15;1672.00
70;812.00;1050.57;1537.00
71;812.00;1061.55;1514.00
72;812.00;1062.25;1457.00
73;812.00;1064.21;1549.00
74;812.00;1048.20;1556.00
75;812.00;1054.16;1584.00
76;812.00;1052.28;1517.00
77;812.00;1046.17;1466.00
78;812.00;1056.30;1532.00
79;812.00;1044.51;1463.00
80;812.00;1051.39;1488.00
81;812.00;1071.56;1567.00
82;812.00;1043.78;1511.00
83;812.00;1062.22;1564.00
84;812.00;1057.65;1489.00
85;812.00;1054.10;1536.00
86;812.00;1059.06;1535.00
87;812.00;1060.34;1510.00
88;812.00;1057.52;1547.00
89;812.00;1051.95;1559.00
90;812.00;1046.07;1476.00
91;812.00;1046.07;1520.00
92;812.00;1054.96;1521.00
93;812.00;1051.53;1514.00
94;812.00;1059.41;1419.00
95;812.00;1044.14;1521.00
96;812.00;1056.22;1491.00
97;812.00;1058.58;1606.00
98;812.00;1062.17;1540.00
99;812.00;1056.94;1535.00
100;812.00;1073.94;1490.00
101;812.00;1068.82;1512.00
102;812.00;1066.55;1609.00
